,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,OrigCountry,DestCountry,isFraud,Flag
32,TRANSFER,243853.63,C623330465,0.0,0.0,C2083562754,1807948.63,2051802.27,QATAR,SLOVENIA,0,green
33,TRANSFER,1339661.93,C283492252,0.0,0.0,C1899073220,3043311.43,3208966.39,UNITED KINGDOM,INDIA,0,green
34,TRANSFER,482.58,C141388791,439.0,0.0,C716157500,4894.45,5377.03,JAMAICA,ROMANIA,0,green
35,TRANSFER,495294.14,C651676429,0.0,0.0,C2083562754,2808555.73,5312631.16,VANUATU,UNITED KINGDOM,0,green
36,TRANSFER,1095802.84,C602529144,0.0,0.0,C1636786811,5607296.22,6703099.06,GAMBIA,MACEDONIA NORTH,0,green
37,TRANSFER,1408829.48,C1191985705,0.0,0.0,C1360767589,2240534.89,5188539.32,SAMOA,BELGIUM,0,green
38,TRANSFER,704242.78,C104893413,0.0,0.0,C451111351,3375453.14,4654237.15,MALAYSIA,ISRAEL,0,green
39,TRANSFER,2025330.83,C509065091,0.0,0.0,C214774813,13025097.92,15944428.35,AZERBAIJAN,LITHUANIA,0,green
40,TRANSFER,1488547.68,C1941482284,0.0,0.0,C1446521801,5037279.0,6525826.68,UKRAINE,DENMARK,0,green
41,TRANSFER,312895.63,C1724067349,40171.0,0.0,C1651945012,0.0,1556799.98,BOSNIA-HERZEGOVINA,ANDORRA,0,green
42,CASH_IN,287937.99,C1716876539,1270520.43,1558458.42,C1423992712,9977117.37,9689179.38,HONDURAS,UZBEKISTAN,0,green
43,CASH_IN,37360.0,C1052245880,1558458.42,1595818.41,C790722099,88544.15,51184.15,MOROCCO,ECUADOR,0,green
44,CASH_OUT,269206.3,C1526476924,0.0,0.0,C1065997164,974210.2,2826797.81,INDIA,SERBIA,0,green
